sensor_id,lokasi,tipe_sensor,timestamp,suhu,kelembapan,amonia,status_pintu,tekanan,pm25
PRESS-B1,Cold Room B,tekanan,2026-05-06T09:04:00.110841+00:00,,,,,56.65,19.48
PRESS-A1,Cold Room A,tekanan,2026-05-06T09:04:00.110841+00:00,,,,,57.92,15.54
DOOR-B1,Cold Room B,pintu,2026-05-06T09:04:00.110841+00:00,,,,0,,13.68
DOOR-A1,Cold Room A,pintu,2026-05-06T09:04:00.110841+00:00,,,,0,,13.97
NH3-B1,Cold Room B,amonia,2026-05-06T09:04:00.110841+00:00,,,7.03,,,10.54
NH3-A1,Cold Room A,amonia,2026-05-06T09:04:00.110841+00:00,,,8.99,,,13.48
HUM-B1,Cold Room B,kelembapan,2026-05-06T09:04:00.110841+00:00,,87.7,,,,14.01
HUM-A1,Cold Room A,kelembapan,2026-05-06T09:04:00.110841+00:00,,92.49,,,,10.52
TEMP-B1,Cold Room B,suhu,2026-05-06T09:04:00.110841+00:00,-20.66,,,,,33.35
TEMP-A1,Cold Room A,suhu,2026-05-06T09:04:00.110841+00:00,-20.88,,,,,28.71
PRESS-B1,Cold Room B,tekanan,2026-05-06T09:14:00.110841+00:00,,,,,78.45,22.25
PRESS-A1,Cold Room A,tekanan,2026-05-06T09:14:00.110841+00:00,,,,,64.42,23.75
DOOR-B1,Cold Room B,pintu,2026-05-06T09:14:00.110841+00:00,,,,0,,16.95
DOOR-A1,Cold Room A,pintu,2026-05-06T09:14:00.110841+00:00,,,,0,,10.37
NH3-B1,Cold Room B,amonia,2026-05-06T09:14:00.110841+00:00,,,1.85,,,2.78
NH3-A1,Cold Room A,amonia,2026-05-06T09:14:00.110841+00:00,,,7.84,,,11.76
HUM-B1,Cold Room B,kelembapan,2026-05-06T09:14:00.110841+00:00,,86.4,,,,10.66
HUM-A1,Cold Room A,kelembapan,2026-05-06T09:14:00.110841+00:00,,92.0,,,,11.14
TEMP-B1,Cold Room B,suhu,2026-05-06T09:14:00.110841+00:00,-21.82,,,,,8.15
TEMP-A1,Cold Room A,suhu,2026-05-06T09:14:00.110841+00:00,-19.17,,,,,19.06
PRESS-B1,Cold Room B,tekanan,2026-05-06T09:24:00.110841+00:00,,,,,71.16,13.98
PRESS-A1,Cold Room A,tekanan,2026-05-06T09:24:00.110841+00:00,,,,,74.46,23.53
DOOR-B1,Cold Room B,pintu,2026-05-06T09:24:00.110841+00:00,,,,0,,16.36
DOOR-A1,Cold Room A,pintu,2026-05-06T09:24:00.110841+00:00,,,,0,,18.16
NH3-B1,Cold Room B,amonia,2026-05-06T09:24:00.110841+00:00,,,2.35,,,3.53
NH3-A1,Cold Room A,amonia,2026-05-06T09:24:00.110841+00:00,,,32.87,,,197.22
HUM-B1,Cold Room B,kelembapan,2026-05-06T09:24:00.110841+00:00,,94.65,,,,39.19
HUM-A1,Cold Room A,kelembapan,2026-05-06T09:24:00.110841+00:00,,90.08,,,,5.16
TEMP-B1,Cold Room B,suhu,2026-05-06T09:24:00.110841+00:00,-21.17,,,,,10.87
TEMP-A1,Cold Room A,suhu,2026-05-06T09:24:00.110841+00:00,-19.76,,,,,30.55
PRESS-B1,Cold Room B,tekanan,2026-05-06T09:34:00.110841+00:00,,,,,69.16,19.83
PRESS-A1,Cold Room A,tekanan,2026-05-06T09:34:00.110841+00:00,,,,,50.06,28.26
DOOR-B1,Cold Room B,pintu,2026-05-06T09:34:00.110841+00:00,,,,0,,19.56
DOOR-A1,Cold Room A,pintu,2026-05-06T09:34:00.110841+00:00,,,,0,,18.1
NH3-B1,Cold Room B,amonia,2026-05-06T09:34:00.110841+00:00,,,47.26,,,283.56
NH3-A1,Cold Room A,amonia,2026-05-06T09:34:00.110841+00:00,,,7.92,,,11.88
HUM-B1,Cold Room B,kelembapan,2026-05-06T09:34:00.110841+00:00,,92.28,,,,19.37
HUM-A1,Cold Room A,kelembapan,2026-05-06T09:34:00.110841+00:00,,86.06,,,,5.4
TEMP-B1,Cold Room B,suhu,2026-05-06T09:34:00.110841+00:00,-19.19,,,,,18.09
TEMP-A1,Cold Room A,suhu,2026-05-06T09:34:00.110841+00:00,-18.82,,,,,20.2
PRESS-B1,Cold Room B,tekanan,2026-05-06T09:44:00.110841+00:00,,,,,60.98,17.9
PRESS-A1,Cold Room A,tekanan,2026-05-06T09:44:00.110841+00:00,,,,,60.24,11.19
DOOR-B1,Cold Room B,pintu,2026-05-06T09:44:00.110841+00:00,,,,0,,11.95
DOOR-A1,Cold Room A,pintu,2026-05-06T09:44:00.110841+00:00,,,,0,,5.94
NH3-B1,Cold Room B,amonia,2026-05-06T09:44:00.110841+00:00,,,5.57,,,8.36
NH3-A1,Cold Room A,amonia,2026-05-06T09:44:00.110841+00:00,,,6.75,,,10.12
HUM-B1,Cold Room B,kelembapan,2026-05-06T09:44:00.110841+00:00,,86.03,,,,36.19
HUM-A1,Cold Room A,kelembapan,2026-05-06T09:44:00.110841+00:00,,87.18,,,,16.29
